,AÑO,SEMESTRE,VICTIMA_x,MES,POBLACION TOTAL,TASA_SEMESTRAL
149,2017,1,65,2,3025225.33333333,2.1486002805741435
150,2017,1,65,2,3025225.33333333,2.1486002805741435
151,2017,1,65,2,3025225.33333333,2.1486002805741435
152,2017,1,65,2,3025225.33333333,2.1486002805741435
153,2017,1,65,2,3025225.33333333,2.1486002805741435
154,2017,1,65,2,3025225.33333333,2.1486002805741435
155,2017,1,65,2,3025225.33333333,2.1486002805741435
156,2017,1,65,3,3025225.33333333,2.1486002805741435
157,2017,1,65,3,3025225.33333333,2.1486002805741435
158,2017,1,65,3,3025225.33333333,2.1486002805741435
159,2017,1,65,3,3025225.33333333,2.1486002805741435
160,2017,1,65,3,3025225.33333333,2.1486002805741435
161,2017,1,65,3,3025225.33333333,2.1486002805741435
162,2017,1,65,3,3025225.33333333,2.1486002805741435
163,2017,1,65,3,3025225.33333333,2.1486002805741435
164,2017,1,65,3,3025225.33333333,2.1486002805741435
165,2017,1,65,3,3025225.33333333,2.1486002805741435
166,2017,1,65,3,3025225.33333333,2.1486002805741435
167,2017,1,65,3,3025225.33333333,2.1486002805741435
168,2017,1,65,4,3025225.33333333,2.1486002805741435
169,2017,1,65,4,3025225.33333333,2.1486002805741435
170,2017,1,65,4,3025225.33333333,2.1486002805741435
171,2017,1,65,4,3025225.33333333,2.1486002805741435
172,2017,1,65,4,3025225.33333333,2.1486002805741435
173,2017,1,65,4,3025225.33333333,2.1486002805741435
174,2017,1,65,4,3025225.33333333,2.1486002805741435
175,2017,1,65,4,3025225.33333333,2.1486002805741435
176,2017,1,65,5,3025225.33333333,2.1486002805741435
177,2017,1,65,5,3025225.33333333,2.1486002805741435
178,2017,1,65,5,3025225.33333333,2.1486002805741435
179,2017,1,65,5,3025225.33333333,2.1486002805741435
180,2017,1,65,5,3025225.33333333,2.1486002805741435
181,2017,1,65,5,3025225.33333333,2.1486002805741435
182,2017,1,65,5,3025225.33333333,2.1486002805741435
183,2017,1,65,5,3025225.33333333,2.1486002805741435
184,2017,1,65,5,3025225.33333333,2.1486002805741435
185,2017,1,65,5,3025225.33333333,2.1486002805741435
186,2017,1,65,5,3025225.33333333,2.1486002805741435
187,2017,1,65,5,3025225.33333333,2.1486002805741435
188,2017,1,65,5,3025225.33333333,2.1486002805741435
189,2017,1,65,5,3025225.33333333,2.1486002805741435
190,2017,1,65,5,3025225.33333333,2.1486002805741435
191,2017,1,65,5,3025225.33333333,2.1486002805741435
192,2017,1,65,5,3025225.33333333,2.1486002805741435
193,2017,1,65,5,3025225.33333333,2.1486002805741435
194,2017,1,65,6,3025225.33333333,2.1486002805741435
195,2017,1,65,6,3025225.33333333,2.1486002805741435
196,2017,1,65,6,3025225.33333333,2.1486002805741435
197,2017,1,65,6,3025225.33333333,2.1486002805741435
198,2017,1,65,6,3025225.33333333,2.1486002805741435
199,2017,1,65,6,3025225.33333333,2.1486002805741435
200,2017,1,65,6,3025225.33333333,2.1486002805741435
201,2017,1,65,6,3025225.33333333,2.1486002805741435
202,2017,2,68,7,3025225.33333333,2.247766447369873
203,2017,2,68,7,3025225.33333333,2.247766447369873
204,2017,2,68,7,3025225.33333333,2.247766447369873
205,2017,2,68,7,3025225.33333333,2.247766447369873
206,2017,2,68,7,3025225.33333333,2.247766447369873
207,2017,2,68,7,3025225.33333333,2.247766447369873
208,2017,2,68,7,3025225.33333333,2.247766447369873
209,2017,2,68,7,3025225.33333333,2.247766447369873
210,2017,2,68,7,3025225.33333333,2.247766447369873
211,2017,2,68,7,3025225.33333333,2.247766447369873
212,2017,2,68,7,3025225.33333333,2.247766447369873
213,2017,2,68,7,3025225.33333333,2.247766447369873
214,2017,2,68,8,3025225.33333333,2.247766447369873
215,2017,2,68,8,3025225.33333333,2.247766447369873
216,2017,2,68,8,3025225.33333333,2.247766447369873
217,2017,2,68,8,3025225.33333333,2.247766447369873
218,2017,2,68,8,3025225.33333333,2.247766447369873
219,2017,2,68,8,3025225.33333333,2.247766447369873
220,2017,2,68,8,3025225.33333333,2.247766447369873
221,2017,2,68,8,3025225.33333333,2.247766447369873
222,2017,2,68,9,3025225.33333333,2.247766447369873
223,2017,2,68,9,3025225.33333333,2.247766447369873
224,2017,2,68,9,3025225.33333333,2.247766447369873
225,2017,2,68,9,3025225.33333333,2.247766447369873
226,2017,2,68,9,3025225.33333333,2.247766447369873
227,2017,2,68,9,3025225.33333333,2.247766447369873
228,2017,2,68,9,3025225.33333333,2.247766447369873
229,2017,2,68,9,3025225.33333333,2.247766447369873
230,2017,2,68,9,3025225.33333333,2.247766447369873
231,2017,2,68,9,3025225.33333333,2.247766447369873
232,2017,2,68,9,3025225.33333333,2.247766447369873
233,2017,2,68,10,3025225.33333333,2.247766447369873
234,2017,2,68,10,3025225.33333333,2.247766447369873
235,2017,2,68,10,3025225.33333333,2.247766447369873
236,2017,2,68,10,3025225.33333333,2.247766447369873
237,2017,2,68,10,3025225.33333333,2.247766447369873
238,2017,2,68,10,3025225.33333333,2.247766447369873
239,2017,2,68,10,3025225.33333333,2.247766447369873
240,2017,2,68,10,3025225.33333333,2.247766447369873
241,2017,2,68,10,3025225.33333333,2.247766447369873
242,2017,2,68,10,3025225.33333333,2.247766447369873
243,2017,2,68,10,3025225.33333333,2.247766447369873
244,2017,2,68,11,3025225.33333333,2.247766447369873
245,2017,2,68,11,3025225.33333333,2.247766447369873
246,2017,2,68,11,3025225.33333333,2.247766447369873
247,2017,2,68,11,3025225.33333333,2.247766447369873
248,2017,2,68,11,3025225.33333333,2.247766447369873
249,2017,2,68,11,3025225.33333333,2.247766447369873
250,2017,2,68,11,3025225.33333333,2.247766447369873
251,2017,2,68,11,3025225.33333333,2.247766447369873
252,2017,2,68,11,3025225.33333333,2.247766447369873
253,2017,2,68,11,3025225.33333333,2.247766447369873
254,2017,2,68,11,3025225.33333333,2.247766447369873
255,2017,2,68,11,3025225.33333333,2.247766447369873
256,2017,2,68,11,3025225.33333333,2.247766447369873
257,2017,2,68,11,3025225.33333333,2.247766447369873
258,2017,2,68,12,3025225.33333333,2.247766447369873
259,2017,2,68,12,3025225.33333333,2.247766447369873
260,2017,2,68,12,3025225.33333333,2.247766447369873
261,2017,2,68,12,3025225.33333333,2.247766447369873
262,2017,2,68,12,3025225.33333333,2.247766447369873
263,2017,2,68,12,3025225.33333333,2.247766447369873
264,2017,2,68,12,3025225.33333333,2.247766447369873
265,2017,2,68,12,3025225.33333333,2.247766447369873
266,2017,2,68,12,3025225.33333333,2.247766447369873
267,2017,2,68,12,3025225.33333333,2.247766447369873
268,2017,2,68,12,3025225.33333333,2.247766447369873
269,2017,2,68,12,3025225.33333333,2.247766447369873
270,2018,1,65,1,3044521.66666666,2.1349823426011687
271,2018,1,65,1,3044521.66666666,2.1349823426011687
272,2018,1,65,1,3044521.66666666,2.1349823426011687
273,2018,1,65,1,3044521.66666666,2.1349823426011687
274,2018,1,65,1,3044521.66666666,2.1349823426011687
275,2018,1,65,1,3044521.66666666,2.1349823426011687
276,2018,1,65,1,3044521.66666666,2.1349823426011687
277,2018,1,65,1,3044521.66666666,2.1349823426011687
278,2018,1,65,1,3044521.66666666,2.1349823426011687
279,2018,1,65,1,3044521.66666666,2.1349823426011687
280,2018,1,65,1,3044521.66666666,2.1349823426011687
281,2018,1,65,1,3044521.66666666,2.1349823426011687
282,2018,1,65,2,3044521.66666666,2.1349823426011687
283,2018,1,65,2,3044521.66666666,2.1349823426011687
284,2018,1,65,2,3044521.66666666,2.1349823426011687
285,2018,1,65,2,3044521.66666666,2.1349823426011687
286,2018,1,65,2,3044521.66666666,2.1349823426011687
287,2018,1,65,2,3044521.66666666,2.1349823426011687
288,2018,1,65,2,3044521.66666666,2.1349823426011687
289,2018,1,65,2,3044521.66666666,2.1349823426011687
290,2018,1,65,2,3044521.66666666,2.1349823426011687
291,2018,1,65,2,3044521.66666666,2.1349823426011687
292,2018,1,65,2,3044521.66666666,2.1349823426011687
293,2018,1,65,3,3044521.66666666,2.1349823426011687
294,2018,1,65,3,3044521.66666666,2.1349823426011687
295,2018,1,65,3,3044521.66666666,2.1349823426011687
296,2018,1,65,3,3044521.66666666,2.1349823426011687
297,2018,1,65,3,3044521.66666666,2.1349823426011687
298,2018,1,65,3,3044521.66666666,2.1349823426011687
299,2018,1,65,4,3044521.66666666,2.1349823426011687
300,2018,1,65,4,3044521.66666666,2.1349823426011687
301,2018,1,65,4,3044521.66666666,2.1349823426011687
302,2018,1,65,4,3044521.66666666,2.1349823426011687
303,2018,1,65,4,3044521.66666666,2.1349823426011687
304,2018,1,65,4,3044521.66666666,2.1349823426011687
305,2018,1,65,4,3044521.66666666,2.1349823426011687
306,2018,1,65,4,3044521.66666666,2.1349823426011687
307,2018,1,65,4,3044521.66666666,2.1349823426011687
308,2018,1,65,4,3044521.66666666,2.1349823426011687
309,2018,1,65,4,3044521.66666666,2.1349823426011687
310,2018,1,65,4,3044521.66666666,2.1349823426011687
311,2018,1,65,4,3044521.66666666,2.1349823426011687
312,2018,1,65,4,3044521.66666666,2.1349823426011687
